"Kod";"Nazwa";"Małżeńskie/pozamałżeńskie";"Miasta / wieś";"Płeć dziecka";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";10796;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";11351;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";11499;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";10939;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";10421;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";10367;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";9737;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";9716;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";9420;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";9734;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";10300;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";9467;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";9036;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";8634;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";7925;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";7090;"-";"";
0800000;"LUBUSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";6499;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";22146;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";21776;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";22473;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";22604;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";23395;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";23869;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";25512;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";26052;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";25526;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";23952;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";23851;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";22420;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";22704;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";22113;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";22794;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";23782;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";23017;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";21644;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";20891;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";19567;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";18163;"-";"";
1000000;"ŁÓDZKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";16383;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";32301;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";31879;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";31978;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";32477;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";32652;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";34071;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";36852;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";37286;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";37049;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";35524;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";35117;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";34307;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";34419;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";34721;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";36331;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";38161;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";37864;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";36946;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";35360;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";33285;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";31082;"-";"";
1200000;"MAŁOPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";28323;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";46410;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";46600;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";48366;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";49983;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";52787;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";55140;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";58714;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";59841;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";60756;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";57258;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";57281;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";55400;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";57139;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";57456;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";59586;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";61850;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";60485;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";59577;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";56719;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";53938;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";50249;"-";"";
1400000;"MAZOWIECKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";44903;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";8452;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";8147;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";8204;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";8496;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";8460;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";8493;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";9177;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";9280;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";9163;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";8686;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";8939;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";8227;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";8593;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";8289;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";8634;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";9083;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";8596;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";8493;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";7951;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";7285;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";6788;"-";"";
1600000;"OPOLSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";6177;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";21313;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";20519;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";20533;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";20525;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";20281;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";20967;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";22224;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";22368;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";21990;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";21130;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";21064;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";20373;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";19953;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";19566;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";20262;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";21927;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";21533;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";20613;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";19580;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";17929;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";16812;"-";"";
1800000;"PODKARPACKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";14877;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";11265;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";10792;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";10692;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";11009;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";11045;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";11196;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";11945;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";12202;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";11928;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";11155;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";11161;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";10619;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";11029;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";10825;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";11373;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";12054;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";11790;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";11342;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";10557;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";10112;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";9150;"-";"";
2000000;"PODLASKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";8280;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";22284;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";22413;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";22829;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";23430;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";24259;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";25474;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";27430;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";27343;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";26890;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";25059;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";25052;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";23938;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";24610;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";24596;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";25865;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";27481;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";26498;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";26041;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";24495;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";23335;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";20993;"-";"";
2200000;"POMORSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";19126;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";39334;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";39156;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";40134;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";40763;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";42458;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2007";43858;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2008";46994;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2009";47860;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2010";47814;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2011";44803;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2012";44565;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2013";42829;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2014";42720;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2015";41611;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2016";42742;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2017";44971;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2018";42596;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2019";40508;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2020";38151;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2021";34736;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2022";31597;"-";"";
2400000;"ŚLĄSKIE";"urodzenia żywe";"ogółem";"ogółem";"2023";27641;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2002";11780;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2003";11538;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2004";11274;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2005";11477;"-";"";
2600000;"ŚWIĘTOKRZYSKIE";"urodzenia żywe";"ogółem";"ogółem";"2006";11349;"-";"";
