"Kod";"Nazwa";"Rodzaje wydatków";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2001";129013727;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2002";125030190;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";120149867;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";139844230;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";252333117;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";280620185,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";281959728,49;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";372639208,47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";457486167,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";581380534,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";702146947,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";668485522,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";643884675,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";653058842,49;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";436042614,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";397059953,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";432218033,20;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";538942390,24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";535319010,06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";452906459,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";593823681,14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";694158651,15;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2023";830477891,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2001";95627035;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2002";82085117;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2003";88153809;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2004";110150124;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2005";127703860;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2006";134007822,62;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2007";203492920,37;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2008";246865371,26;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2009";362277250,44;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2010";314742066,54;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2011";284243471,39;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2012";235661762,13;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2013";227523362,04;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";301182879,16;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";277421473,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";236799098,32;"zł";"";
