"Kod";"Nazwa";"Rodzaje wydatków";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"1999";48007033;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2000";45502151;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2001";34393816;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2002";28113613;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";28872167;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";31299099;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";42394398;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";47240070,67;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";50435947,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";55412222,96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";107666087,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";109274280,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";114033487,50;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";157324642,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";128110277,19;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";96866115,51;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";68481875,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";52413834,84;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";56903627,26;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";76458911,14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";72398679,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";66218561,99;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";66572128,52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";67373963,39;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2023";77515828,77;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"1999";24303837;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2000";26848012;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2001";25234058;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2002";26196386;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2003";21753883;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2004";24448057;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2005";42389850;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2006";40079691,36;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2007";41945104,72;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2008";45395591,84;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2009";53136246,34;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2010";54430294,06;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2011";65266416,91;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2012";60050046,12;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2013";59894973,02;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";59762143,84;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";56506773,45;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";52217553,36;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";54195459,31;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";58640070,18;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2019";61014382,36;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2020";65653435,74;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2021";75084888,12;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2022";84004163,10;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2023";95513089,26;"zł";"";
0600000;"LUBELSKIE";"ogółem";"1999";29783051;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2000";29756400;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2001";30713261;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2002";29930385;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2003";30598442;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2004";32958446;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2005";33807847;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2006";38289640,46;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2007";40913299,01;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2008";42011618,07;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2009";42448247,24;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2010";41923397,29;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2011";45539757,35;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2012";49595183,12;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2013";47893734,00;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2014";47734184,22;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2015";43798551,31;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2016";41591553,72;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2017";42813191,32;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2018";45282865,95;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2019";46172690,26;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2020";53541415,79;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2021";56462632,77;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2022";58604403,63;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2023";65528937,72;"zł";"";
0800000;"LUBUSKIE";"ogółem";"1999";12826486;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2000";10744757;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2001";10207952;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2002";10914663;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2003";10935505;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2004";11268549;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2005";11490761;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2006";12572853,00;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2007";12841942,10;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2008";12957358,71;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2009";38003823,96;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2010";17001343,80;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2011";18611656,38;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2012";16931694,59;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2013";17196742,46;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2014";16863837,99;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2015";17826604,98;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2016";16381696,56;"zł";"";
