"Kod";"Nazwa";"Rodzaje wydatków";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2001";471468;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2002";1067813;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";1422712;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";950000;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";1556089;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";2630949,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";801345,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";4657956,75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";10038248,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";1486237,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";5913148,44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";3827618,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";2632798,24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";22034049,04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";2422531,30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";7255368,14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";5439663,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";7007332,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";7580303,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";7534952,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";3835920,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";4195350,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2023";14145140,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2001";351899;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2002";285315;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2003";391613;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2004";107395;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2005";62451;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2006";182607,57;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2007";234360,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2008";167411,33;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2009";156679,39;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2010";239413,23;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2011";1793542,91;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2012";2053734,84;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2013";2378271,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";561075,39;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";269541,19;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";5172420,62;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";2259246,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";2406938,66;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2019";1428937,12;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2020";1575049,23;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2021";652700,12;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2022";7026110,78;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2023";3376706,10;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2001";97785;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2002";297109;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2003";394035;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2004";373769;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2005";560291;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2006";351436,41;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2007";34495,74;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2008";889991,94;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2009";2514922,46;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2010";1748865,80;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2011";6442597,64;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2012";7382150,27;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2013";6079708,83;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2014";6838045,15;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2015";5324130,00;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2016";5095947,18;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2017";6284961,08;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2018";5837390,29;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2019";6735420,66;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2020";10132318,31;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2021";11018311,01;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2022";9352118,01;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2023";14198352,83;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2001";37412;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2002";107288;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2003";97391;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2004";106293;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2005";99438;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2006";154080,46;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2007";212954,72;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2008";1425617,57;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2009";12001261,49;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2010";1015662,41;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2011";881527,27;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2012";673055,27;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2013";253641,25;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2014";692980,73;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2015";1815839,07;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2016";636138,52;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2017";296007,00;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2018";416673,60;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2019";2006755,15;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2020";724675,07;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2021";2349528,70;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2022";546154,65;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2023";3297950,79;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2001";10000;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2002";5000;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2003";150053;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2004";178655;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2005";154685;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2006";1921291,00;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2007";3801835,58;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2008";6302427,14;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2009";10986195,87;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2010";14453286,44;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2011";31762431,63;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2012";24192111,43;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2013";14216965,55;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2014";12414990,66;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2015";13505765,08;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2016";13771238,49;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2017";24737974,07;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2018";23560149,37;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2019";29317446,97;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2020";26855398,76;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2021";30156158,71;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2022";30805267,45;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2023";40209497,67;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2001";259440;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2002";463280;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2003";334649;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2004";279933;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2005";1002359;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2006";3897547,04;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2007";1076550,39;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2008";2662451,96;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2009";4713580,66;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2010";6046041,41;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2011";3350353,76;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2012";2300878,88;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2013";1336921,21;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2014";1256997,93;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2015";1066555,34;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2016";981252,20;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2017";1105647,31;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2018";1190589,69;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2019";1657269,56;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2020";1639904,99;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2021";1493517,89;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2022";2717658,30;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2023";5840350,27;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2001";963702;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2002";1352922;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2003";1814402;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2004";6266795;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2005";4433079;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2006";12300504,80;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2007";3342820,24;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2008";4330006,43;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2009";14741570,14;"zł";"";
