"Kod";"Nazwa";"Rodzaje wydatków";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2001";25712067;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2002";26107661;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";26832286;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";39240016;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";36483583;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";55830058,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";78926476,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";96742310,04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";100934721,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";106350695,37;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";98729691,43;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";104836822,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";122451310,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";169978247,71;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";177891331,36;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";109528514,43;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";115656767,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";120596830,06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";120998727,44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";115181876,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";126511655,59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";194441234,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2023";245321913,33;"zł";"";
