"Kod";"Nazwa";"Okresy";"Lokalizacje";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"na wsi";"kobiety";"2022";276043;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"rok";"na wsi";"kobiety";"2023";275147;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"w miastach";"mężczyźni";"2019";898766;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"w miastach";"mężczyźni";"2020";893762;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"w miastach";"mężczyźni";"2021";889300;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"w miastach";"mężczyźni";"2022";882867;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"w miastach";"mężczyźni";"2023";876744;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"w miastach";"kobiety";"2019";990627;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"w miastach";"kobiety";"2020";988520;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"w miastach";"kobiety";"2021";984865;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"w miastach";"kobiety";"2022";979087;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"w miastach";"kobiety";"2023";972887;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"na wsi";"mężczyźni";"2019";803368;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"na wsi";"mężczyźni";"2020";811261;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"na wsi";"mężczyźni";"2021";811678;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"na wsi";"mężczyźni";"2022";814385;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"na wsi";"mężczyźni";"2023";817493;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"na wsi";"kobiety";"2019";805972;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"na wsi";"kobiety";"2020";813499;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"na wsi";"kobiety";"2021";814187;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"na wsi";"kobiety";"2022";817238;"osoba";"";
3000000;"WIELKOPOLSKIE";"rok";"na wsi";"kobiety";"2023";820849;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"w miastach";"mężczyźni";"2019";554358;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"w miastach";"mężczyźni";"2020";542231;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"w miastach";"mężczyźni";"2021";536797;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"w miastach";"mężczyźni";"2022";531990;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"w miastach";"mężczyźni";"2023";528417;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"w miastach";"kobiety";"2019";606348;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"w miastach";"kobiety";"2020";594217;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"w miastach";"kobiety";"2021";589224;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"w miastach";"kobiety";"2022";584978;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"w miastach";"kobiety";"2023";581989;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"na wsi";"mężczyźni";"2019";270164;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"na wsi";"mężczyźni";"2020";264782;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"na wsi";"mężczyźni";"2021";264467;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"na wsi";"mężczyźni";"2022";264199;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"na wsi";"mężczyźni";"2023";262950;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"na wsi";"kobiety";"2019";265323;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"na wsi";"kobiety";"2020";259843;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"na wsi";"kobiety";"2021";259533;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"na wsi";"kobiety";"2022";259455;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"rok";"na wsi";"kobiety";"2023";258428;"osoba";"";
