"Kod";"Nazwa";"Okresy";"Lokalizacje";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0800000;"LUBUSKIE";"rok";"w miastach";"mężczyźni";"2020";306763;"osoba";"";
0800000;"LUBUSKIE";"rok";"w miastach";"mężczyźni";"2021";302869;"osoba";"";
0800000;"LUBUSKIE";"rok";"w miastach";"mężczyźni";"2022";299949;"osoba";"";
0800000;"LUBUSKIE";"rok";"w miastach";"mężczyźni";"2023";297381;"osoba";"";
0800000;"LUBUSKIE";"rok";"w miastach";"kobiety";"2019";342407;"osoba";"";
0800000;"LUBUSKIE";"rok";"w miastach";"kobiety";"2020";335770;"osoba";"";
0800000;"LUBUSKIE";"rok";"w miastach";"kobiety";"2021";332371;"osoba";"";
0800000;"LUBUSKIE";"rok";"w miastach";"kobiety";"2022";329743;"osoba";"";
0800000;"LUBUSKIE";"rok";"w miastach";"kobiety";"2023";327217;"osoba";"";
0800000;"LUBUSKIE";"rok";"na wsi";"mężczyźni";"2019";178034;"osoba";"";
0800000;"LUBUSKIE";"rok";"na wsi";"mężczyźni";"2020";176189;"osoba";"";
0800000;"LUBUSKIE";"rok";"na wsi";"mężczyźni";"2021";175846;"osoba";"";
0800000;"LUBUSKIE";"rok";"na wsi";"mężczyźni";"2022";175768;"osoba";"";
0800000;"LUBUSKIE";"rok";"na wsi";"mężczyźni";"2023";175788;"osoba";"";
0800000;"LUBUSKIE";"rok";"na wsi";"kobiety";"2019";177019;"osoba";"";
0800000;"LUBUSKIE";"rok";"na wsi";"kobiety";"2020";174607;"osoba";"";
0800000;"LUBUSKIE";"rok";"na wsi";"kobiety";"2021";174401;"osoba";"";
0800000;"LUBUSKIE";"rok";"na wsi";"kobiety";"2022";174516;"osoba";"";
0800000;"LUBUSKIE";"rok";"na wsi";"kobiety";"2023";174637;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"w miastach";"mężczyźni";"2019";711558;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"w miastach";"mężczyźni";"2020";697040;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"w miastach";"mężczyźni";"2021";688074;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"w miastach";"mężczyźni";"2022";681717;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"w miastach";"mężczyźni";"2023";677566;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"w miastach";"kobiety";"2019";819409;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"w miastach";"kobiety";"2020";803769;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"w miastach";"kobiety";"2021";794126;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"w miastach";"kobiety";"2022";787092;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"w miastach";"kobiety";"2023";782089;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"na wsi";"mężczyźni";"2019";458077;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"na wsi";"mężczyźni";"2020";454154;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"na wsi";"mężczyźni";"2021";452998;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"na wsi";"mężczyźni";"2022";451573;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"na wsi";"mężczyźni";"2023";448109;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"na wsi";"kobiety";"2019";465735;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"na wsi";"kobiety";"2020";460853;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"na wsi";"kobiety";"2021";459748;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"na wsi";"kobiety";"2022";458101;"osoba";"";
1000000;"ŁÓDZKIE";"rok";"na wsi";"kobiety";"2023";454755;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"w miastach";"mężczyźni";"2019";777995;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"w miastach";"mężczyźni";"2020";779566;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"w miastach";"mężczyźni";"2021";776936;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"w miastach";"mężczyźni";"2022";774290;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"w miastach";"mężczyźni";"2023";774877;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"w miastach";"kobiety";"2019";866177;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"w miastach";"kobiety";"2020";870183;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"w miastach";"kobiety";"2021";867797;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"w miastach";"kobiety";"2022";865765;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"w miastach";"kobiety";"2023";867094;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"na wsi";"mężczyźni";"2019";877477;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"na wsi";"mężczyźni";"2020";885934;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"na wsi";"mężczyźni";"2021";887115;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"na wsi";"mężczyźni";"2022";888801;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"na wsi";"mężczyźni";"2023";888252;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"na wsi";"kobiety";"2019";889252;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"na wsi";"kobiety";"2020";897009;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"na wsi";"kobiety";"2021";898522;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"na wsi";"kobiety";"2022";900158;"osoba";"";
1200000;"MAŁOPOLSKIE";"rok";"na wsi";"kobiety";"2023";899409;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"w miastach";"mężczyźni";"2019";1634028;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"w miastach";"mężczyźni";"2020";1668523;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"w miastach";"mężczyźni";"2021";1667228;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"w miastach";"mężczyźni";"2022";1667392;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"w miastach";"mężczyźni";"2023";1667561;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"w miastach";"kobiety";"2019";1861694;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"w miastach";"kobiety";"2020";1896040;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"w miastach";"kobiety";"2021";1895178;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"w miastach";"kobiety";"2022";1895509;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"w miastach";"kobiety";"2023";1894709;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"na wsi";"mężczyźni";"2019";960995;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"na wsi";"mężczyźni";"2020";973836;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"na wsi";"mężczyźni";"2021";972188;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"na wsi";"mężczyźni";"2022";970849;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"na wsi";"mężczyźni";"2023";970913;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"na wsi";"kobiety";"2019";966451;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"na wsi";"kobiety";"2020";979217;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"na wsi";"kobiety";"2021";978200;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"na wsi";"kobiety";"2022";976862;"osoba";"";
1400000;"MAZOWIECKIE";"rok";"na wsi";"kobiety";"2023";977344;"osoba";"";
1600000;"OPOLSKIE";"rok";"w miastach";"mężczyźni";"2019";249227;"osoba";"";
1600000;"OPOLSKIE";"rok";"w miastach";"mężczyźni";"2020";241536;"osoba";"";
1600000;"OPOLSKIE";"rok";"w miastach";"mężczyźni";"2021";238623;"osoba";"";
1600000;"OPOLSKIE";"rok";"w miastach";"mężczyźni";"2022";236173;"osoba";"";
1600000;"OPOLSKIE";"rok";"w miastach";"mężczyźni";"2023";233926;"osoba";"";
1600000;"OPOLSKIE";"rok";"w miastach";"kobiety";"2019";273921;"osoba";"";
1600000;"OPOLSKIE";"rok";"w miastach";"kobiety";"2020";267080;"osoba";"";
1600000;"OPOLSKIE";"rok";"w miastach";"kobiety";"2021";264472;"osoba";"";
1600000;"OPOLSKIE";"rok";"w miastach";"kobiety";"2022";262296;"osoba";"";
